stop_name,sr_number,category,complaint_description,created_date,age_days,age_years,age_band
1609 Lavaca/17th (Midblock),SR23000056,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2026-02-10,61,0.1671232876712328,< 1 year
1609 Lavaca/17th (Midblock),SR23000004,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2026-02-12,59,0.1616438356164383,< 1 year
1609 Lavaca/17th (Midblock),SR23000006,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2026-02-15,56,0.1534246575342465,< 1 year
1609 Lavaca/17th (Midblock),SR23000010,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2026-02-18,53,0.1452054794520547,< 1 year
1609 Lavaca/17th (Midblock),SR23000037,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2026-02-22,49,0.1342465753424657,< 1 year
1609 Lavaca/17th (Midblock),SR23000059,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2026-03-18,25,0.0684931506849315,< 1 year
1609 Lavaca/17th (Midblock),SR23000022,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2026-03-25,18,0.0493150684931506,< 1 year
501 Pleasant Valley/5th,SR23000923,Missing Benches,Missing seating at 501 Pleasant Valley/5th transit stop,2023-01-03,1195,3.2739726027397262,3+ years
501 Pleasant Valley/5th,SR23000903,Missing Shelter,No shelter at 501 Pleasant Valley/5th transit stop,2023-01-19,1179,3.23013698630137,3+ years
501 Pleasant Valley/5th,SR23000966,Weather Exposure,Riders getting wet at 501 Pleasant Valley/5th during rain,2023-01-19,1179,3.23013698630137,3+ years
501 Pleasant Valley/5th,SR23000902,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2023-01-21,1177,3.2246575342465755,3+ years
501 Pleasant Valley/5th,SR23000951,Missing Shelter,No weather protection at 501 Pleasant Valley/5th transit stop,2023-02-19,1148,3.1452054794520548,3+ years
501 Pleasant Valley/5th,SR23000930,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2023-03-06,1133,3.1041095890410957,3+ years
501 Pleasant Valley/5th,SR23000931,Missing Shelter,No shelter at 501 Pleasant Valley/5th transit stop,2023-03-07,1132,3.1013698630136988,3+ years
501 Pleasant Valley/5th,SR23000967,Weather Exposure,Bus stop 501 Pleasant Valley/5th exposed to extreme heat/sun,2023-03-07,1132,3.1013698630136988,3+ years
501 Pleasant Valley/5th,SR23000935,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2023-03-31,1108,3.0356164383561643,3+ years
501 Pleasant Valley/5th,SR23000907,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2023-04-13,1095,3.0,3+ years
501 Pleasant Valley/5th,SR23000928,Weather Exposure,Riders getting wet at 501 Pleasant Valley/5th during rain,2023-04-27,1081,2.9616438356164383,2–3 years
501 Pleasant Valley/5th,SR23000962,Other,Riders have nowhere to sit at 501 Pleasant Valley/5th,2023-07-04,1013,2.7753424657534245,2–3 years
501 Pleasant Valley/5th,SR23000915,Weather Exposure,Bus stop 501 Pleasant Valley/5th exposed to extreme heat/sun,2023-08-09,977,2.6767123287671235,2–3 years
501 Pleasant Valley/5th,SR23000917,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2023-08-25,961,2.632876712328767,2–3 years
501 Pleasant Valley/5th,SR23000968,Missing Shelter,No shelter at 501 Pleasant Valley/5th transit stop,2023-09-03,952,2.6082191780821917,2–3 years
501 Pleasant Valley/5th,SR23000948,Safety (Lighting),Safety concerns at 501 Pleasant Valley/5th bus stop after dark,2023-09-11,944,2.5863013698630137,2–3 years
501 Pleasant Valley/5th,SR23000949,Missing Shelter,No weather protection at 501 Pleasant Valley/5th transit stop,2023-09-23,932,2.5534246575342467,2–3 years
501 Pleasant Valley/5th,SR23000984,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs weather shelter,2023-10-11,914,2.504109589041096,2–3 years
501 Pleasant Valley/5th,SR23000925,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2023-10-27,898,2.4602739726027396,2–3 years
501 Pleasant Valley/5th,SR23000934,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2023-11-03,891,2.441095890410959,2–3 years
501 Pleasant Valley/5th,SR23000945,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2023-12-16,848,2.3232876712328765,2–3 years
501 Pleasant Valley/5th,SR23000905,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2023-12-24,840,2.3013698630136985,2–3 years
501 Pleasant Valley/5th,SR23000933,Missing Shelter,No weather protection at 501 Pleasant Valley/5th transit stop,2023-12-29,835,2.287671232876712,2–3 years
501 Pleasant Valley/5th,SR23000947,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2024-02-07,795,2.1780821917808217,2–3 years
501 Pleasant Valley/5th,SR23000943,Weather Exposure,Bus stop 501 Pleasant Valley/5th exposed to extreme heat/sun,2024-02-26,776,2.126027397260274,2–3 years
501 Pleasant Valley/5th,SR23000982,Safety (Lighting),Safety concerns at 501 Pleasant Valley/5th bus stop after dark,2024-03-18,755,2.0684931506849313,2–3 years
501 Pleasant Valley/5th,SR23000932,Weather Exposure,Bus stop 501 Pleasant Valley/5th exposed to extreme heat/sun,2024-03-20,753,2.063013698630137,2–3 years
501 Pleasant Valley/5th,SR23000958,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2024-03-22,751,2.0575342465753423,2–3 years
501 Pleasant Valley/5th,SR23000965,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2024-04-11,731,2.002739726027398,2–3 years
501 Pleasant Valley/5th,SR23000964,Missing Shelter,No shelter at 501 Pleasant Valley/5th transit stop,2024-05-21,691,1.893150684931507,1–2 years
501 Pleasant Valley/5th,SR23000929,Safety Concerns,Feeling unsafe waiting at 501 Pleasant Valley/5th,2024-05-25,687,1.8821917808219175,1–2 years
501 Pleasant Valley/5th,SR23000959,Missing Benches,No benches at 501 Pleasant Valley/5th bus stop,2024-07-16,635,1.7397260273972603,1–2 years
501 Pleasant Valley/5th,SR23000952,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2024-07-28,623,1.7068493150684931,1–2 years
501 Pleasant Valley/5th,SR23000924,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2024-09-04,585,1.6027397260273972,1–2 years
501 Pleasant Valley/5th,SR23000969,Other,Riders have nowhere to sit at 501 Pleasant Valley/5th,2024-09-26,563,1.5424657534246575,1–2 years
501 Pleasant Valley/5th,SR23000926,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2024-10-06,553,1.515068493150685,1–2 years
501 Pleasant Valley/5th,SR23000912,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2024-12-09,489,1.3397260273972602,1–2 years
501 Pleasant Valley/5th,SR23000983,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2024-12-24,474,1.2986301369863014,1–2 years
501 Pleasant Valley/5th,SR23000927,Weather Exposure,Bus stop 501 Pleasant Valley/5th exposed to extreme heat/sun,2024-12-28,470,1.2876712328767124,1–2 years
501 Pleasant Valley/5th,SR23000981,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2025-02-05,431,1.180821917808219,1–2 years
501 Pleasant Valley/5th,SR23000920,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2025-02-25,411,1.126027397260274,1–2 years
501 Pleasant Valley/5th,SR23000922,Weather Exposure,Riders getting wet at 501 Pleasant Valley/5th during rain,2025-04-04,373,1.021917808219178,1–2 years
501 Pleasant Valley/5th,SR23000921,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2025-04-11,366,1.0027397260273974,1–2 years
501 Pleasant Valley/5th,SR23000939,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2025-04-11,366,1.0027397260273974,1–2 years
501 Pleasant Valley/5th,SR23000940,Missing Shelter,No shelter at 501 Pleasant Valley/5th transit stop,2025-04-29,348,0.9534246575342464,< 1 year
501 Pleasant Valley/5th,SR23000916,Safety (Lighting),Transit stop 501 Pleasant Valley/5th needs better lighting,2025-05-03,344,0.9424657534246575,< 1 year
501 Pleasant Valley/5th,SR23000973,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2025-05-18,329,0.9013698630136986,< 1 year
501 Pleasant Valley/5th,SR23000971,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs weather shelter,2025-05-19,328,0.8986301369863013,< 1 year
501 Pleasant Valley/5th,SR23000961,Missing Benches,No benches at 501 Pleasant Valley/5th bus stop,2025-05-20,327,0.8958904109589041,< 1 year
501 Pleasant Valley/5th,SR23000944,Missing Shelter,No weather protection at 501 Pleasant Valley/5th transit stop,2025-05-20,327,0.8958904109589041,< 1 year
501 Pleasant Valley/5th,SR23000970,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2025-05-20,327,0.8958904109589041,< 1 year
501 Pleasant Valley/5th,SR23000980,Safety Concerns,Feeling unsafe waiting at 501 Pleasant Valley/5th,2025-05-30,317,0.8684931506849315,< 1 year
501 Pleasant Valley/5th,SR23000913,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2025-06-03,313,0.8575342465753425,< 1 year
501 Pleasant Valley/5th,SR23000941,Other,Riders have nowhere to sit at 501 Pleasant Valley/5th,2025-07-24,262,0.7178082191780822,< 1 year
501 Pleasant Valley/5th,SR23000972,Missing Benches,No benches at 501 Pleasant Valley/5th bus stop,2025-08-22,233,0.6383561643835617,< 1 year
501 Pleasant Valley/5th,SR23000957,Weather Exposure,Riders getting wet at 501 Pleasant Valley/5th during rain,2025-09-08,216,0.5917808219178082,< 1 year
501 Pleasant Valley/5th,SR23000955,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2025-09-11,213,0.5835616438356165,< 1 year
501 Pleasant Valley/5th,SR23000960,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2025-10-03,191,0.5232876712328767,< 1 year
501 Pleasant Valley/5th,SR23000954,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2025-10-17,177,0.4849315068493151,< 1 year
501 Pleasant Valley/5th,SR23000936,Missing Shelter,Transit stop 501 Pleasant Valley/5th needs shelter for rider protection,2025-12-12,121,0.3315068493150685,< 1 year
501 Pleasant Valley/5th,SR23000909,Missing Benches,Request bench installation at 501 Pleasant Valley/5th,2025-12-24,109,0.2986301369863013,< 1 year
501 Pleasant Valley/5th,SR23000963,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2026-02-16,55,0.1506849315068493,< 1 year
501 Pleasant Valley/5th,SR23000975,Missing Benches,No benches at 501 Pleasant Valley/5th bus stop,2026-02-26,45,0.1232876712328767,< 1 year
501 Pleasant Valley/5th,SR23000937,Missing Benches,Missing seating at 501 Pleasant Valley/5th transit stop,2026-03-07,36,0.0986301369863013,< 1 year
501 Pleasant Valley/5th,SR23000977,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2026-03-16,27,0.073972602739726,< 1 year
501 Pleasant Valley/5th,SR23000901,Missing Shelter,Request shelter installation at 501 Pleasant Valley/5th,2026-03-29,14,0.0383561643835616,< 1 year
501 Pleasant Valley/5th,SR23000904,Missing Shelter,Bus stop at 501 Pleasant Valley/5th missing shelter - riders exposed to weather,2026-03-31,12,0.0328767123287671,< 1 year
8th Street NB (Trinity/8th),SR23001296,Other,Riders have nowhere to sit at 8th Street NB (Trinity/8th),2023-03-13,1126,3.084931506849315,3+ years
8th Street NB (Trinity/8th),SR23001339,Missing Shelter,Transit stop 8th Street NB (Trinity/8th) needs shelter for rider protection,2023-05-08,1070,2.9315068493150687,2–3 years
8th Street NB (Trinity/8th),SR23001346,Safety Concerns,Request safety improvements at 8th Street NB (Trinity/8th) stop,2023-06-16,1031,2.824657534246575,2–3 years
8th Street NB (Trinity/8th),SR23001337,Safety (Lighting),Safety concerns at 8th Street NB (Trinity/8th) bus stop after dark,2023-06-20,1027,2.813698630136986,2–3 years
8th Street NB (Trinity/8th),SR23001310,Missing Shelter,Bus stop at 8th Street NB (Trinity/8th) missing shelter - riders exposed to weather,2023-07-08,1009,2.7643835616438355,2–3 years
8th Street NB (Trinity/8th),SR23001299,Missing Shelter,Request shelter installation at 8th Street NB (Trinity/8th),2023-07-19,998,2.734246575342466,2–3 years
8th Street NB (Trinity/8th),SR23001347,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2023-08-10,976,2.673972602739726,2–3 years
8th Street NB (Trinity/8th),SR23001353,Weather Exposure,Bus stop 8th Street NB (Trinity/8th) exposed to extreme heat/sun,2023-08-23,963,2.638356164383562,2–3 years
8th Street NB (Trinity/8th),SR23001336,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2023-09-24,931,2.5506849315068494,2–3 years
8th Street NB (Trinity/8th),SR23001300,Missing Benches,Request bench installation at 8th Street NB (Trinity/8th),2023-11-29,865,2.3698630136986303,2–3 years
8th Street NB (Trinity/8th),SR23001331,Missing Benches,No benches at 8th Street NB (Trinity/8th) bus stop,2023-11-30,864,2.367123287671233,2–3 years
8th Street NB (Trinity/8th),SR23001325,Other,Riders have nowhere to sit at 8th Street NB (Trinity/8th),2024-01-28,805,2.2054794520547945,2–3 years
8th Street NB (Trinity/8th),SR23001311,Missing Benches,Request bench installation at 8th Street NB (Trinity/8th),2024-02-16,786,2.1534246575342464,2–3 years
8th Street NB (Trinity/8th),SR23001318,Missing Shelter,Request shelter installation at 8th Street NB (Trinity/8th),2024-03-16,757,2.073972602739726,2–3 years
8th Street NB (Trinity/8th),SR23001304,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2024-03-26,747,2.0465753424657533,2–3 years
8th Street NB (Trinity/8th),SR23001315,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2024-04-07,735,2.0136986301369864,2–3 years
8th Street NB (Trinity/8th),SR23001348,Missing Benches,Request bench installation at 8th Street NB (Trinity/8th),2024-04-25,717,1.9643835616438357,1–2 years
8th Street NB (Trinity/8th),SR23001349,Missing Shelter,Transit stop 8th Street NB (Trinity/8th) needs weather shelter,2024-04-26,716,1.9616438356164383,1–2 years
8th Street NB (Trinity/8th),SR23001319,Missing Benches,No benches at 8th Street NB (Trinity/8th) bus stop,2024-06-20,661,1.810958904109589,1–2 years
8th Street NB (Trinity/8th),SR23001307,Safety (Lighting),Safety concerns at 8th Street NB (Trinity/8th) bus stop after dark,2024-06-28,653,1.789041095890411,1–2 years
8th Street NB (Trinity/8th),SR23001293,Missing Shelter,No shelter at 8th Street NB (Trinity/8th) transit stop,2024-07-10,641,1.7561643835616438,1–2 years
8th Street NB (Trinity/8th),SR23001320,Missing Shelter,Transit stop 8th Street NB (Trinity/8th) needs shelter for rider protection,2024-08-02,618,1.6931506849315068,1–2 years
8th Street NB (Trinity/8th),SR23001328,Safety Concerns,Request safety improvements at 8th Street NB (Trinity/8th) stop,2024-09-29,560,1.5342465753424657,1–2 years
8th Street NB (Trinity/8th),SR23001301,Missing Shelter,Bus stop at 8th Street NB (Trinity/8th) missing shelter - riders exposed to weather,2024-11-09,519,1.421917808219178,1–2 years
8th Street NB (Trinity/8th),SR23001298,Missing Benches,No benches at 8th Street NB (Trinity/8th) bus stop,2024-11-22,506,1.3863013698630138,1–2 years
8th Street NB (Trinity/8th),SR23001295,Missing Benches,No benches at 8th Street NB (Trinity/8th) bus stop,2024-12-13,485,1.3287671232876712,1–2 years
8th Street NB (Trinity/8th),SR23001334,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2025-01-26,441,1.2082191780821918,1–2 years
8th Street NB (Trinity/8th),SR23001314,Missing Shelter,No shelter at 8th Street NB (Trinity/8th) transit stop,2025-03-13,395,1.082191780821918,1–2 years
8th Street NB (Trinity/8th),SR23001352,Missing Shelter,No weather protection at 8th Street NB (Trinity/8th) transit stop,2025-03-25,383,1.0493150684931507,1–2 years
8th Street NB (Trinity/8th),SR23001332,Weather Exposure,Bus stop 8th Street NB (Trinity/8th) exposed to extreme heat/sun,2025-04-05,372,1.0191780821917809,1–2 years
8th Street NB (Trinity/8th),SR23001292,Missing Benches,No benches at 8th Street NB (Trinity/8th) bus stop,2025-05-13,334,0.915068493150685,< 1 year
8th Street NB (Trinity/8th),SR23001323,Weather Exposure,Riders getting wet at 8th Street NB (Trinity/8th) during rain,2025-06-22,294,0.8054794520547945,< 1 year
8th Street NB (Trinity/8th),SR23001355,Safety Concerns,Request safety improvements at 8th Street NB (Trinity/8th) stop,2025-08-08,247,0.6767123287671233,< 1 year
8th Street NB (Trinity/8th),SR23001356,Missing Benches,Request bench installation at 8th Street NB (Trinity/8th),2025-09-03,221,0.6054794520547945,< 1 year
8th Street NB (Trinity/8th),SR23001308,Missing Shelter,No shelter at 8th Street NB (Trinity/8th) transit stop,2025-10-06,188,0.5150684931506849,< 1 year
8th Street NB (Trinity/8th),SR23001357,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2025-11-05,158,0.4328767123287671,< 1 year
8th Street NB (Trinity/8th),SR23001327,Missing Benches,Request bench installation at 8th Street NB (Trinity/8th),2025-12-27,106,0.2904109589041095,< 1 year
8th Street NB (Trinity/8th),SR23001345,Safety (Lighting),Transit stop 8th Street NB (Trinity/8th) needs better lighting,2026-01-10,92,0.2520547945205479,< 1 year
8th Street NB (Trinity/8th),SR23001335,Missing Benches,Request bench installation at 8th Street NB (Trinity/8th),2026-01-24,78,0.2136986301369863,< 1 year
8th Street NB (Trinity/8th),SR23001351,Missing Shelter,Transit stop 8th Street NB (Trinity/8th) needs weather shelter,2026-02-20,51,0.1397260273972602,< 1 year
8th Street NB (Trinity/8th),SR23001359,Missing Shelter,Bus stop at 8th Street NB (Trinity/8th) missing shelter - riders exposed to weather,2026-02-26,45,0.1232876712328767,< 1 year
8th Street NB (Trinity/8th),SR23001303,Safety (Lighting),Transit stop 8th Street NB (Trinity/8th) needs better lighting,2026-02-26,45,0.1232876712328767,< 1 year
8th Street NB (Trinity/8th),SR23001358,Missing Shelter,No shelter at 8th Street NB (Trinity/8th) transit stop,2026-02-28,43,0.1178082191780822,< 1 year
8th Street NB (Trinity/8th),SR23001312,Missing Benches,Missing seating at 8th Street NB (Trinity/8th) transit stop,2026-04-03,9,0.0246575342465753,< 1 year
Bluebonnet Station (SB),SR23001156,Weather Exposure,Riders getting wet at Bluebonnet Station (SB) during rain,2023-01-28,1170,3.2054794520547945,3+ years
Bluebonnet Station (SB),SR23001210,Missing Shelter,Transit stop Bluebonnet Station (SB) needs weather shelter,2023-02-16,1151,3.1534246575342464,3+ years
Bluebonnet Station (SB),SR23001181,Missing Shelter,Request shelter installation at Bluebonnet Station (SB),2023-03-11,1128,3.0904109589041098,3+ years
Bluebonnet Station (SB),SR23001217,Safety Concerns,Feeling unsafe waiting at Bluebonnet Station (SB),2023-04-23,1085,2.9726027397260273,2–3 years
Bluebonnet Station (SB),SR23001206,Missing Shelter,Request shelter installation at Bluebonnet Station (SB),2023-05-04,1074,2.9424657534246577,2–3 years
Bluebonnet Station (SB),SR23001200,Missing Shelter,Bus stop at Bluebonnet Station (SB) missing shelter - riders exposed to weather,2023-06-05,1042,2.8547945205479452,2–3 years
Bluebonnet Station (SB),SR23001211,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2023-06-08,1039,2.8465753424657536,2–3 years
Bluebonnet Station (SB),SR23001204,Other,Riders have nowhere to sit at Bluebonnet Station (SB),2023-07-07,1010,2.767123287671233,2–3 years
Bluebonnet Station (SB),SR23001196,Missing Benches,Request bench installation at Bluebonnet Station (SB),2023-07-14,1003,2.747945205479452,2–3 years
Bluebonnet Station (SB),SR23001165,Missing Shelter,Bus stop at Bluebonnet Station (SB) missing shelter - riders exposed to weather,2023-08-01,985,2.6986301369863015,2–3 years
Bluebonnet Station (SB),SR23001158,Missing Shelter,No weather protection at Bluebonnet Station (SB) transit stop,2023-08-04,982,2.6904109589041094,2–3 years
Bluebonnet Station (SB),SR23001177,Weather Exposure,Riders getting wet at Bluebonnet Station (SB) during rain,2023-08-26,960,2.6301369863013697,2–3 years
Bluebonnet Station (SB),SR23001168,Weather Exposure,Bus stop Bluebonnet Station (SB) exposed to extreme heat/sun,2023-09-14,941,2.578082191780822,2–3 years
Bluebonnet Station (SB),SR23001155,Missing Shelter,Request shelter installation at Bluebonnet Station (SB),2023-11-15,879,2.408219178082192,2–3 years
Bluebonnet Station (SB),SR23001173,Weather Exposure,Bus stop Bluebonnet Station (SB) exposed to extreme heat/sun,2024-01-08,825,2.26027397260274,2–3 years
Bluebonnet Station (SB),SR23001180,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2024-02-05,797,2.1835616438356165,2–3 years
Bluebonnet Station (SB),SR23001209,Weather Exposure,Riders getting wet at Bluebonnet Station (SB) during rain,2024-03-07,766,2.0986301369863014,2–3 years
Bluebonnet Station (SB),SR23001160,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2024-03-09,764,2.0931506849315067,2–3 years
Bluebonnet Station (SB),SR23001185,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2024-03-19,754,2.0657534246575344,2–3 years
Bluebonnet Station (SB),SR23001197,Safety (Lighting),Transit stop Bluebonnet Station (SB) needs better lighting,2024-07-09,642,1.7589041095890412,1–2 years
Bluebonnet Station (SB),SR23001219,Weather Exposure,Bus stop Bluebonnet Station (SB) exposed to extreme heat/sun,2024-08-09,611,1.673972602739726,1–2 years
Bluebonnet Station (SB),SR23001208,Safety (Lighting),Transit stop Bluebonnet Station (SB) needs better lighting,2024-09-27,562,1.5397260273972602,1–2 years
Bluebonnet Station (SB),SR23001147,Other,Riders have nowhere to sit at Bluebonnet Station (SB),2024-10-05,554,1.5178082191780822,1–2 years
Bluebonnet Station (SB),SR23001146,Missing Shelter,Bus stop at Bluebonnet Station (SB) missing shelter - riders exposed to weather,2024-10-13,546,1.4958904109589042,1–2 years
Bluebonnet Station (SB),SR23001179,Missing Benches,Missing seating at Bluebonnet Station (SB) transit stop,2024-10-14,545,1.4931506849315068,1–2 years
Bluebonnet Station (SB),SR23001159,Safety Concerns,Request safety improvements at Bluebonnet Station (SB) stop,2024-11-07,521,1.4273972602739726,1–2 years
Bluebonnet Station (SB),SR23001188,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2024-12-06,492,1.347945205479452,1–2 years
Bluebonnet Station (SB),SR23001151,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2024-12-31,467,1.2794520547945205,1–2 years
Bluebonnet Station (SB),SR23001167,Safety (Lighting),Transit stop Bluebonnet Station (SB) needs better lighting,2025-02-02,434,1.189041095890411,1–2 years
Bluebonnet Station (SB),SR23001190,Weather Exposure,Riders getting wet at Bluebonnet Station (SB) during rain,2025-02-24,412,1.1287671232876713,1–2 years
Bluebonnet Station (SB),SR23001145,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2025-02-26,410,1.1232876712328768,1–2 years
Bluebonnet Station (SB),SR23001161,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2025-03-10,398,1.0904109589041096,1–2 years
Bluebonnet Station (SB),SR23001216,Missing Shelter,No shelter at Bluebonnet Station (SB) transit stop,2025-03-17,391,1.0712328767123287,1–2 years
Bluebonnet Station (SB),SR23001154,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2025-05-11,336,0.9205479452054794,< 1 year
Bluebonnet Station (SB),SR23001207,Missing Shelter,No shelter at Bluebonnet Station (SB) transit stop,2025-05-20,327,0.8958904109589041,< 1 year
Bluebonnet Station (SB),SR23001176,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2025-05-26,321,0.8794520547945206,< 1 year
Bluebonnet Station (SB),SR23001153,Missing Benches,Missing seating at Bluebonnet Station (SB) transit stop,2025-06-07,309,0.8465753424657534,< 1 year
Bluebonnet Station (SB),SR23001194,Missing Benches,Request bench installation at Bluebonnet Station (SB),2025-07-04,282,0.7726027397260274,< 1 year
Bluebonnet Station (SB),SR23001186,Missing Shelter,Request shelter installation at Bluebonnet Station (SB),2025-07-18,268,0.7342465753424657,< 1 year
Bluebonnet Station (SB),SR23001170,Missing Shelter,Request shelter installation at Bluebonnet Station (SB),2025-07-22,264,0.7232876712328767,< 1 year
Bluebonnet Station (SB),SR23001163,Missing Shelter,No weather protection at Bluebonnet Station (SB) transit stop,2025-08-08,247,0.6767123287671233,< 1 year
Bluebonnet Station (SB),SR23001169,Safety (Lighting),Transit stop Bluebonnet Station (SB) needs better lighting,2025-08-12,243,0.6657534246575343,< 1 year
Bluebonnet Station (SB),SR23001172,Safety (Lighting),Safety concerns at Bluebonnet Station (SB) bus stop after dark,2025-08-21,234,0.6410958904109589,< 1 year
Bluebonnet Station (SB),SR23001164,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2025-11-23,140,0.3835616438356164,< 1 year
Bluebonnet Station (SB),SR23001148,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2025-12-06,127,0.347945205479452,< 1 year
Bluebonnet Station (SB),SR23001183,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2026-01-03,99,0.2712328767123287,< 1 year
Bluebonnet Station (SB),SR23001192,Missing Shelter,Transit stop Bluebonnet Station (SB) needs shelter for rider protection,2026-01-14,88,0.2410958904109589,< 1 year
Bluebonnet Station (SB),SR23001166,Missing Shelter,Transit stop Bluebonnet Station (SB) needs weather shelter,2026-01-20,82,0.2246575342465753,< 1 year
Bluebonnet Station (SB),SR23001198,Missing Shelter,No weather protection at Bluebonnet Station (SB) transit stop,2026-02-09,62,0.1698630136986301,< 1 year
Bluebonnet Station (SB),SR23001203,Missing Benches,No benches at Bluebonnet Station (SB) bus stop,2026-02-25,46,0.1260273972602739,< 1 year
Bluebonnet Station (SB),SR23001149,Safety (Lighting),Safety concerns at Bluebonnet Station (SB) bus stop after dark,2026-02-27,44,0.1205479452054794,< 1 year
Bluebonnet Station (SB),SR23001199,Missing Shelter,No shelter at Bluebonnet Station (SB) transit stop,2026-03-28,15,0.0410958904109589,< 1 year
Guadalupe/16th Street,SR23000175,Missing Benches,Missing seating at Guadalupe/16th Street transit stop,2023-01-18,1180,3.232876712328767,3+ years
Guadalupe/16th Street,SR23000211,Missing Shelter,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,2023-01-19,1179,3.23013698630137,3+ years
Guadalupe/16th Street,SR23000278,Missing Shelter,Request shelter installation at Guadalupe/16th Street,2023-01-31,1167,3.197260273972603,3+ years
Guadalupe/16th Street,SR23000161,Sidewalk/ADA,Riders have nowhere to sit at Guadalupe/16th Street,2023-02-10,1157,3.16986301369863,3+ years
Guadalupe/16th Street,SR23000221,Weather Exposure,Riders getting wet at Guadalupe/16th Street during rain,2023-02-19,1148,3.1452054794520548,3+ years
Guadalupe/16th Street,SR23000272,Safety (Lighting),Transit stop Guadalupe/16th Street needs better lighting,2023-02-22,1145,3.136986301369863,3+ years
Guadalupe/16th Street,SR23000193,Missing Benches,Missing seating at Guadalupe/16th Street transit stop,2023-03-01,1138,3.117808219178082,3+ years
Guadalupe/16th Street,SR23000162,Missing Shelter,Transit stop Guadalupe/16th Street needs shelter for rider protection,2023-03-09,1130,3.095890410958904,3+ years
