Rank,Stop Name,Total Calls,SR Number,Complaint Description,Category,Responsible Party,Year,Status,Created Date
3,Lavaca/4th,135,SR23000374,No shelter at Lavaca/4th transit stop,Missing Shelter,CapMetro,2023,Open,07/07/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000375,Riders have nowhere to sit at Lavaca/4th,Other,TBD,2023,Open,12/10/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000376,No weather protection at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Open,11/04/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000377,Missing seating at Lavaca/4th transit stop,Missing Benches,CapMetro,2023,Open,01/02/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000378,Request bench installation at Lavaca/4th,Missing Benches,CapMetro,2025,Open,09/18/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000379,Transit stop Lavaca/4th needs shelter for rider protection,Missing Shelter,CapMetro,2023,Open,08/27/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000380,No shelter at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Open,07/22/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000381,Bus stop at Lavaca/4th missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Closed,01/21/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000382,Bus stop Lavaca/4th exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,12/01/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000383,Bus stop at Lavaca/4th missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,02/10/2024 12:00:00 AM
3,Lavaca/4th,135,SR23000384,Riders getting wet at Lavaca/4th during rain,Weather Exposure,CapMetro,2024,Open,04/02/2024 12:00:00 AM
3,Lavaca/4th,135,SR23000385,No shelter at Lavaca/4th transit stop,Missing Shelter,CapMetro,2024,Open,11/15/2024 12:00:00 AM
3,Lavaca/4th,135,SR23000386,Request bench installation at Lavaca/4th,Missing Benches,CapMetro,2023,Open,07/29/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000387,Missing seating at Lavaca/4th transit stop,Missing Benches,CapMetro,2023,Open,08/10/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000388,Request safety improvements at Lavaca/4th stop,Safety Concerns,City of Austin / CapMetro,2023,Open,02/17/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000389,Bus stop at Lavaca/4th missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2023,Open,11/29/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000390,Riders getting wet at Lavaca/4th during rain,Weather Exposure,CapMetro,2025,Open,07/29/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000391,Request bench installation at Lavaca/4th,Missing Benches,CapMetro,2025,Open,12/29/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000392,No benches at Lavaca/4th bus stop,Missing Benches,CapMetro,2025,Open,07/11/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000393,No weather protection at Lavaca/4th transit stop,Missing Shelter,CapMetro,2023,Open,05/15/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000394,Request shelter installation at Lavaca/4th,Missing Shelter,CapMetro,2025,Open,07/16/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000395,Riders getting wet at Lavaca/4th during rain,Weather Exposure,CapMetro,2023,Open,02/05/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000396,Transit stop Lavaca/4th needs shelter for rider protection,Missing Shelter,CapMetro,2024,Open,05/11/2024 12:00:00 AM
3,Lavaca/4th,135,SR23000397,Bus stop at Lavaca/4th missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Closed,05/29/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000398,No shelter at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Open,05/11/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000399,No benches at Lavaca/4th bus stop,Missing Benches,CapMetro,2023,Open,04/18/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000400,No shelter at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Open,03/19/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000401,Bus stop at Lavaca/4th missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,02/15/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000402,No weather protection at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Open,10/11/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000403,Request shelter installation at Lavaca/4th,Missing Shelter,CapMetro,2025,Open,08/05/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000404,Missing seating at Lavaca/4th transit stop,Missing Benches,CapMetro,2023,Closed,07/18/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000405,Transit stop Lavaca/4th needs better lighting,Safety (Lighting),City of Austin,2024,Open,10/02/2024 12:00:00 AM
3,Lavaca/4th,135,SR23000406,Missing seating at Lavaca/4th transit stop,Missing Benches,CapMetro,2025,Closed,10/03/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000407,Transit stop Lavaca/4th needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,05/29/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000408,No weather protection at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Closed,07/16/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000409,Riders getting wet at Lavaca/4th during rain,Weather Exposure,CapMetro,2026,Open,04/08/2026 12:00:00 AM
3,Lavaca/4th,135,SR23000410,Riders have nowhere to sit at Lavaca/4th,Other,TBD,2024,Open,03/20/2024 12:00:00 AM
3,Lavaca/4th,135,SR23000411,Missing seating at Lavaca/4th transit stop,Missing Benches,CapMetro,2025,Open,05/19/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000412,No shelter at Lavaca/4th transit stop,Missing Shelter,CapMetro,2025,Open,05/23/2025 12:00:00 AM
3,Lavaca/4th,135,SR23000413,Transit stop Lavaca/4th needs better lighting,Safety (Lighting),City of Austin,2023,Closed,11/01/2023 12:00:00 AM
3,Lavaca/4th,135,SR23000414,No benches at Lavaca/4th bus stop,Missing Benches,CapMetro,2023,Closed,11/14/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000415,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2023,Open,03/22/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000416,Request safety improvements at Guadalupe/W. 21st Street stop,Safety Concerns,City of Austin / CapMetro,2023,Closed,10/03/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000417,Transit stop Guadalupe/W. 21st Street needs better lighting,Safety (Lighting),City of Austin,2024,Open,04/26/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000418,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,08/08/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000419,Riders getting wet at Guadalupe/W. 21st Street during rain,Weather Exposure,CapMetro,2023,Open,08/10/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000420,Missing seating at Guadalupe/W. 21st Street transit stop,Missing Benches,CapMetro,2026,Open,03/08/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000421,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2025,Open,03/19/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000422,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,08/31/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000423,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2023,Closed,01/28/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000424,Missing seating at Guadalupe/W. 21st Street transit stop,Missing Benches,CapMetro,2025,Open,01/18/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000425,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2023,Open,07/19/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000426,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,09/09/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000427,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,12/23/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000428,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2023,Open,02/28/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000429,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2024,Closed,12/29/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000430,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2024,Open,08/11/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000431,Request safety improvements at Guadalupe/W. 21st Street stop,Safety Concerns,City of Austin / CapMetro,2026,Open,02/06/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000432,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2025,Open,06/14/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000433,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2026,Open,01/02/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000434,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,03/01/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000435,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,08/15/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000436,Bus stop at Guadalupe/W. 21st Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,12/04/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000437,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,01/31/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000438,Riders getting wet at Guadalupe/W. 21st Street during rain,Weather Exposure,CapMetro,2025,Closed,10/20/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000439,Missing seating at Guadalupe/W. 21st Street transit stop,Missing Benches,CapMetro,2023,Closed,08/31/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000440,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,07/14/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000441,Feeling unsafe waiting at Guadalupe/W. 21st Street,Safety Concerns,City of Austin / CapMetro,2026,Open,01/13/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000442,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2024,Open,08/16/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000443,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2023,Open,06/11/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000444,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,12/04/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000445,Transit stop Guadalupe/W. 21st Street needs better lighting,Safety (Lighting),City of Austin,2024,Open,11/03/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000446,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2024,Open,03/09/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000447,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,04/26/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000448,Missing seating at Guadalupe/W. 21st Street transit stop,Missing Benches,CapMetro,2023,Open,05/14/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000449,Safety concerns at Guadalupe/W. 21st Street bus stop after dark,Safety (Lighting),City of Austin,2025,Open,05/06/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000450,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,08/09/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000451,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,11/24/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000452,Riders getting wet at Guadalupe/W. 21st Street during rain,Weather Exposure,CapMetro,2024,Open,05/23/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000453,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2023,Open,12/04/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000454,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2025,Closed,08/01/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000455,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,01/28/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000456,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2025,Open,11/12/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000457,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,07/31/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000458,Bus stop at Guadalupe/W. 21st Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,03/19/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000459,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2026,Open,04/03/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000460,Feeling unsafe waiting at Guadalupe/W. 21st Street,Safety Concerns,City of Austin / CapMetro,2026,Open,03/05/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000461,Request safety improvements at Guadalupe/W. 21st Street stop,Safety Concerns,City of Austin / CapMetro,2024,Open,12/06/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000462,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2023,Open,08/22/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000463,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,12/02/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000464,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2026,Closed,01/21/2026 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000465,Request safety improvements at Guadalupe/W. 21st Street stop,Safety Concerns,City of Austin / CapMetro,2025,Open,10/19/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000466,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Closed,05/02/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000467,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2024,Open,04/18/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000468,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2023,Open,12/13/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000469,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2024,Open,07/09/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000470,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2024,Open,02/12/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000471,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,10/22/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000472,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Closed,08/08/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000473,Bus stop at Guadalupe/W. 21st Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,11/02/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000474,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2025,Open,03/17/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000475,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,04/20/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000476,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2024,Open,06/28/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000477,Transit stop Guadalupe/W. 21st Street needs better lighting,Safety (Lighting),City of Austin,2025,Open,01/01/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000478,Missing seating at Guadalupe/W. 21st Street transit stop,Missing Benches,CapMetro,2023,Open,10/07/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000479,Riders getting wet at Guadalupe/W. 21st Street during rain,Weather Exposure,CapMetro,2024,Open,02/14/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000480,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2025,Open,12/14/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000481,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,11/13/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000482,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2023,Open,05/15/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000483,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2023,Open,10/09/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000484,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,08/29/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000485,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,07/09/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000486,Safety concerns at Guadalupe/W. 21st Street bus stop after dark,Safety (Lighting),City of Austin,2023,Closed,07/04/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000487,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2023,Open,09/23/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000488,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2023,Open,09/04/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000489,Transit stop Guadalupe/W. 21st Street needs weather shelter,Missing Shelter,CapMetro,2023,Open,12/31/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000490,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,03/22/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000491,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2023,Open,07/20/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000492,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Closed,12/15/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000493,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,09/16/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000494,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Open,07/10/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000495,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2023,Closed,07/02/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000496,No benches at Guadalupe/W. 21st Street bus stop,Missing Benches,CapMetro,2025,Closed,06/04/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000497,Safety concerns at Guadalupe/W. 21st Street bus stop after dark,Safety (Lighting),City of Austin,2025,Open,04/20/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000498,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2024,Closed,08/31/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000499,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2024,Open,01/19/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000500,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2025,Open,12/15/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000501,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2024,Open,07/22/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000502,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,05/18/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000503,Riders getting wet at Guadalupe/W. 21st Street during rain,Weather Exposure,CapMetro,2024,Closed,06/24/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000504,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2023,Open,12/06/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000505,Request bench installation at Guadalupe/W. 21st Street,Missing Benches,CapMetro,2023,Open,02/06/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000506,Bus stop at Guadalupe/W. 21st Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Closed,07/07/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000507,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2023,Open,02/08/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000508,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,11/11/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000509,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,06/18/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000510,Request safety improvements at Guadalupe/W. 21st Street stop,Safety Concerns,City of Austin / CapMetro,2024,Closed,12/26/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000511,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2025,Open,08/29/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000512,Bus stop at Guadalupe/W. 21st Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,09/27/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000513,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Closed,05/27/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000514,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,08/13/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000515,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,02/07/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000516,Transit stop Guadalupe/W. 21st Street needs weather shelter,Missing Shelter,CapMetro,2025,Open,04/29/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000517,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2025,Open,05/31/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000518,Bus stop at Guadalupe/W. 21st Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,02/27/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000519,Transit stop Guadalupe/W. 21st Street needs weather shelter,Missing Shelter,CapMetro,2025,Open,08/24/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000520,Request shelter installation at Guadalupe/W. 21st Street,Missing Shelter,CapMetro,2023,Open,04/05/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000521,Transit stop Guadalupe/W. 21st Street needs weather shelter,Missing Shelter,CapMetro,2023,Closed,07/14/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000522,No shelter at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Open,05/22/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000523,Riders have nowhere to sit at Guadalupe/W. 21st Street,Sidewalk/ADA,City of Austin,2025,Open,01/14/2025 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000524,No weather protection at Guadalupe/W. 21st Street transit stop,Missing Shelter,CapMetro,2023,Closed,11/19/2023 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000525,Transit stop Guadalupe/W. 21st Street needs shelter for rider protection,Missing Shelter,CapMetro,2024,Closed,11/28/2024 12:00:00 AM
4,Guadalupe/W. 21st Street,112,SR23000526,Bus stop Guadalupe/W. 21st Street exposed to extreme heat/sun,Weather Exposure,CapMetro,2026,Open,02/23/2026 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000527,Request shelter installation at UT Dean Keeton Station (NB),Missing Shelter,CapMetro,2024,Open,02/22/2024 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000528,No shelter at UT Dean Keeton Station (NB) transit stop,Missing Shelter,CapMetro,2024,Open,08/13/2024 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000529,Bus stop at UT Dean Keeton Station (NB) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,02/22/2024 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000530,Feeling unsafe waiting at UT Dean Keeton Station (NB),Safety Concerns,City of Austin / CapMetro,2024,Open,12/06/2024 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000531,Transit stop UT Dean Keeton Station (NB) needs shelter for rider protection,Missing Shelter,CapMetro,2024,Closed,03/05/2024 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000532,Request bench installation at UT Dean Keeton Station (NB),Missing Benches,CapMetro,2023,Closed,07/09/2023 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000533,Request safety improvements at UT Dean Keeton Station (NB) stop,Safety Concerns,City of Austin / CapMetro,2023,Open,03/22/2023 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000534,No benches at UT Dean Keeton Station (NB) bus stop,Missing Benches,CapMetro,2024,Closed,07/23/2024 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000535,Transit stop UT Dean Keeton Station (NB) needs weather shelter,Missing Shelter,CapMetro,2026,Open,04/03/2026 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000536,No shelter at UT Dean Keeton Station (NB) transit stop,Missing Shelter,CapMetro,2026,Open,03/13/2026 12:00:00 AM
5,UT Dean Keeton Station (NB),98,SR23000537,No shelter at UT Dean Keeton Station (NB) transit stop,Missing Shelter,CapMetro,2026,Open,02/03/2026 12:00:00 AM
